phase,scheduler,n_ues,spatial,traffic,n_runs,cell_throughput_mbps_mean,cell_throughput_mbps_std,cell_throughput_mbps_ci95_lo,cell_throughput_mbps_ci95_hi,jain_index_mean,jain_index_std,jain_index_ci95_lo,jain_index_ci95_hi,mean_delay_ms_mean,mean_delay_ms_std,mean_delay_ms_ci95_lo,mean_delay_ms_ci95_hi,plr_mean,plr_std,plr_ci95_lo,plr_ci95_hi
phase3_group_b,mt,20,uniform,heterogeneous,20,10.95435,0.841129,10.560689,11.348011,0.122887,0.073844,0.088327,0.157448,3.4669,0.177661,3.383752,3.550048,3.7e-05,9.7e-05,-8e-06,8.3e-05
phase3_group_b,mt,40,clustered,heterogeneous,20,12.88602,0.848491,12.488914,13.283126,0.093706,0.041399,0.07433,0.113081,3.790515,0.128573,3.730341,3.850689,-9e-06,4.1e-05,-2.8e-05,1.1e-05
phase3_group_b,mt,40,uniform,heterogeneous,20,11.57972,0.726138,11.239877,11.919563,0.053758,0.030998,0.039251,0.068266,3.5446,0.204398,3.448939,3.640261,6e-06,7.2e-05,-2.8e-05,4e-05
phase3_group_b,pf,10,clustered,heterogeneous,20,13.226115,0.568109,12.960232,13.491998,0.506264,0.027181,0.493542,0.518985,3.21179,0.011785,3.206274,3.217306,0.002773,0.000628,0.002479,0.003067
phase3_group_b,pf,10,uniform,heterogeneous,20,10.39288,2.129745,9.396129,11.389631,0.611371,0.090063,0.56922,0.653521,3.19569,0.011845,3.190146,3.201234,0.004897,0.00187,0.004022,0.005772
phase3_group_b,pf,20,clustered,heterogeneous,20,15.156915,0.457371,14.942859,15.370971,0.543245,0.011601,0.537815,0.548675,3.25758,0.018075,3.249121,3.266039,0.002904,0.000377,0.002728,0.003081
phase3_group_b,pf,20,uniform,heterogeneous,20,11.45703,1.636127,10.691299,12.222761,0.561348,0.054925,0.535642,0.587053,3.222905,0.015742,3.215537,3.230273,0.004818,0.001362,0.00418,0.005455
phase3_group_b,pf,40,clustered,heterogeneous,20,16.643675,0.362813,16.473873,16.813477,0.574954,0.006796,0.571773,0.578135,3.280245,0.011321,3.274947,3.285543,0.00229,0.000284,0.002157,0.002423
phase3_group_b,pf,40,uniform,heterogeneous,20,11.882025,1.428793,11.213329,12.550721,0.583064,0.02845,0.569749,0.596379,3.233365,0.015448,3.226135,3.240595,0.004325,0.000692,0.004001,0.004649
phase3_group_b,pss,10,clustered,heterogeneous,20,14.146445,0.692648,13.822276,14.470614,0.510659,0.028234,0.497446,0.523873,3.279835,0.025307,3.267991,3.291679,0.002741,0.000585,0.002467,0.003015
phase3_group_b,pss,10,uniform,heterogeneous,20,10.78477,2.209971,9.750472,11.819068,0.626267,0.085508,0.586248,0.666285,3.253545,0.021646,3.243414,3.263676,0.004569,0.001768,0.003742,0.005397
phase3_group_b,pss,20,clustered,heterogeneous,20,14.205865,0.556117,13.945594,14.466136,0.59608,0.010759,0.591044,0.601116,3.26968,0.01671,3.261859,3.277501,0.002742,0.000527,0.002495,0.002989
phase3_group_b,pss,20,uniform,heterogeneous,20,10.614325,1.714055,9.812122,11.416528,0.552583,0.021631,0.54246,0.562707,3.232815,0.022442,3.222312,3.243318,0.004539,0.001582,0.003798,0.005279
phase3_group_b,pss,40,clustered,heterogeneous,20,13.34028,0.506981,13.103006,13.577554,0.400326,0.002272,0.399263,0.401389,3.263585,0.013798,3.257127,3.270043,0.003811,0.000582,0.003539,0.004083
phase3_group_b,pss,40,uniform,heterogeneous,20,8.985895,1.569533,8.251331,9.720459,0.431862,0.014137,0.425246,0.438479,3.24713,0.012597,3.241234,3.253026,0.007566,0.001854,0.006699,0.008434
phase3_group_b,rr,10,clustered,heterogeneous,20,8.863975,0.737221,8.518945,9.209005,0.492103,0.052665,0.467455,0.516751,5.00655,0.104765,4.957519,5.055581,0.023166,0.001437,0.022494,0.023839
phase3_group_b,rr,10,uniform,heterogeneous,20,6.368305,1.763327,5.543042,7.193568,0.568459,0.092044,0.525381,0.611536,5.272855,0.136479,5.208981,5.336729,0.030559,0.005334,0.028063,0.033055
phase3_group_b,rr,20,clustered,heterogeneous,20,9.56585,0.632447,9.269856,9.861844,0.473412,0.028258,0.460187,0.486637,5.10895,0.075733,5.073506,5.144394,0.02696,0.00145,0.026282,0.027639
phase3_group_b,rr,20,uniform,heterogeneous,20,6.342965,1.360956,5.706018,6.979912,0.504692,0.105819,0.455167,0.554216,5.35927,0.081117,5.321306,5.397234,0.037453,0.004413,0.035388,0.039518
phase3_group_b,rr,40,clustered,heterogeneous,20,10.484445,0.504399,10.248379,10.720511,0.53427,0.014672,0.527404,0.541137,5.112385,0.05311,5.087529,5.137241,0.028581,0.001024,0.028102,0.029061
phase3_group_b,rr,40,uniform,heterogeneous,20,6.18044,1.030162,5.698309,6.662571,0.580121,0.060744,0.551692,0.60855,5.499905,0.104561,5.450969,5.548841,0.043608,0.004464,0.041519,0.045697
