phase,scheduler,n_ues,spatial,traffic,run_id,cell_throughput_mbps,jain_index,mean_delay_ms,plr,n_ues_active,n_ues_total
phase2_group_a,bet,40,uniform,homogeneous,2,4.5138,0.998701,5.2329,0.04209,40,40
phase2_group_a,bet,40,uniform,homogeneous,3,5.3635,0.998647,5.0543,0.035514,40,40
phase2_group_a,bet,40,uniform,homogeneous,4,3.5128,0.999029,5.4269,0.04926,40,40
phase2_group_a,bet,40,uniform,homogeneous,5,3.4235,0.998444,5.396,0.049583,40,40
phase2_group_a,bet,40,uniform,homogeneous,6,4.087,0.998257,5.2311,0.045582,40,40
phase2_group_a,bet,40,uniform,homogeneous,7,4.06,0.998696,5.2891,0.044004,40,40
phase2_group_a,bet,40,uniform,homogeneous,8,3.849,0.998351,5.2554,0.046662,40,40
phase2_group_a,bet,40,uniform,homogeneous,9,3.9975,0.998313,5.2791,0.044988,40,40
phase2_group_a,bet,40,uniform,homogeneous,10,4.2654,0.99809,5.2088,0.043697,40,40
phase2_group_a,bet,40,uniform,homogeneous,11,3.6008,0.998506,5.3499,0.048481,40,40
phase2_group_a,bet,40,uniform,homogeneous,12,3.3101,0.999231,5.4735,0.049662,40,40
phase2_group_a,bet,40,uniform,homogeneous,13,3.6261,0.998677,5.3818,0.048056,40,40
phase2_group_a,bet,40,uniform,homogeneous,14,3.9185,0.998399,5.2983,0.045694,40,40
phase2_group_a,bet,40,uniform,homogeneous,15,4.2804,0.998623,5.2334,0.043575,40,40
phase2_group_a,bet,40,uniform,homogeneous,16,3.7804,0.99819,5.2512,0.047208,40,40
phase2_group_a,bet,40,uniform,homogeneous,17,3.8112,0.998651,5.3447,0.04631,40,40
phase2_group_a,bet,40,uniform,homogeneous,18,4.0741,0.998346,5.2395,0.043625,40,40
phase2_group_a,bet,40,uniform,homogeneous,19,3.8013,0.998187,5.2751,0.048104,40,40
phase2_group_a,bet,40,uniform,homogeneous,20,3.8153,0.998881,5.3584,0.046541,40,40
phase2_group_a,mlwdf,10,clustered,homogeneous,1,18.4963,0.73721,3.2707,0.002476,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,2,19.1052,0.767359,3.2984,0.001618,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,3,18.0984,0.70698,3.2521,0.002285,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,4,19.8459,0.72733,3.2308,0.002148,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,5,20.134,0.745725,3.2526,0.002091,10,10
